ID,Title,Poster,MPAA,imdb,MetaCritic,TotalVotes,MainGenre,SubGenre1,SubGenre2,Runtime
24,Whiplash (2014),https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,R,8.5,88,"492,285",Drama,Music,,107 min
25,Hell or High Water (2016),https://m.media-amazon.com/images/M/MV5BMTg4NDA1OTA5NF5BMl5BanBnXkFtZTgwMDQ2MDM5ODE@._V1_SX300.jpg,R,7.7,88,"125,026",Crime,Drama,Thriller,102 min
26,Birdman or (The Unexpected Virtue of Ignorance) (2014),https://m.media-amazon.com/images/M/MV5BODAzNDMxMzAxOV5BMl5BanBnXkFtZTgwMDMxMjA4MjE@._V1_SX300.jpg,R,7.8,88,"448,725",Comedy,Drama,,119 min
27,Moneyball (2011),https://m.media-amazon.com/images/M/MV5BMjAxOTU3Mzc1M15BMl5BanBnXkFtZTcwMzk1ODUzNg@@._V1_SX300.jpg,PG-13,7.6,87,"300,199",Biography,Drama,Sport,133 min
28,Argo (2012),https://m.media-amazon.com/images/M/MV5BNzljNjY3MDYtYzc0Ni00YjU0LWIyNDUtNTE0ZDRiMGExMjZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,R,7.7,86,"486,84",Action,Biography,Drama,120 min
29,Nebraska (2013),https://m.media-amazon.com/images/M/MV5BMTU2Mjk2NDkyMl5BMl5BanBnXkFtZTgwNTk0NzcyMDE@._V1_SX300.jpg,R,7.7,86,"97,059",Adventure,Comedy,Drama,115 min
30,Dallas Buyers Club (2013),https://m.media-amazon.com/images/M/MV5BMTYwMTA4MzgyNF5BMl5BanBnXkFtZTgwMjEyMjE0MDE@._V1_SX300.jpg,R,8,84,"357,641",Biography,Drama,,117 min
31,Kubo and the Two Strings (2016),https://m.media-amazon.com/images/M/MV5BMjA2Mzg2NDMzNl5BMl5BanBnXkFtZTgwMjcwODUzOTE@._V1_SX300.jpg,PG,7.8,84,"78,588",Animation,Adventure,Family,
32,Moonrise Kingdom (2012),https://m.media-amazon.com/images/M/MV5BMTEwMTc3NDkzOTJeQTJeQWpwZ15BbWU3MDI4NTAwNzc@._V1_SX300.jpg,PG-13,7.8,84,"258,231",Adventure,Comedy,Drama,94 min
33,Hugo (2011),https://m.media-amazon.com/images/M/MV5BMjAzNzk5MzgyNF5BMl5BanBnXkFtZTcwOTE4NDU5Ng@@._V1_SX300.jpg,PG,7.5,83,"261,953",Adventure,Drama,Family,126 min
34,Captain Phillips (2013),https://m.media-amazon.com/images/M/MV5BODhiZWRhMjctNDUyMS00NmUwLTgwYmItMjJhOWNkZWQ3ZTQxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,PG-13,7.8,83,"350,818",Biography,Drama,Thriller,134 min
35,The Lego Movie (2014),https://m.media-amazon.com/images/M/MV5BMTg4MDk1ODExN15BMl5BanBnXkFtZTgwNzIyNjg3MDE@._V1_SX300.jpg,PG,7.8,83,"271,515",Animation,Action,Adventure,100 min
36,Short Term 12 (2013),https://m.media-amazon.com/images/M/MV5BMTEwNjE2OTM4NDZeQTJeQWpwZ15BbWU3MDE2MTE4OTk@._V1_SX300.jpg,R,8,82,"63,459",Drama,,,
37,127 Hours (2010),https://m.media-amazon.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX300.jpg,R,7.6,82,"297,075",Adventure,Biography,Drama,94 min
38,Creed (2015),https://m.media-amazon.com/images/M/MV5BODg5NDM1MDI4NF5BMl5BanBnXkFtZTgwMzg0MzQxNzE@._V1_SX300.jpg,PG-13,7.6,82,"179,795",Drama,Sport,,133 min
39,Sicario (2015),https://m.media-amazon.com/images/M/MV5BMjA5NjM3NTk1M15BMl5BanBnXkFtZTgwMzg1MzU2NjE@._V1_SX300.jpg,R,7.6,82,"250,849",Action,Crime,Drama,121 min
40,Arrival (2016),https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg,PG-13,8,81,"370,842",Drama,Mystery,Sci-Fi,116 min
41,Star Wars: The Force Awakens (2015),https://m.media-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_SX300.jpg,PG-13,8.1,81,"676,732",Action,Adventure,Fantasy,136 min
42,Django Unchained (2012),https://m.media-amazon.com/images/M/MV5BMTA4M2NmZTgtOGJlOS00NDExLWE4MzItNWQxNTRmYzIzYmM0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,8.4,81,"1,056,822",Drama,Western,,165 min
43,Bridge of Spies (2015),https://m.media-amazon.com/images/M/MV5BMjIxOTI0MjU5NV5BMl5BanBnXkFtZTgwNzM4OTk4NTE@._V1_SX300.jpg,PG-13,7.6,81,"223,756",Drama,History,Thriller,142 min
44,Midnight in Paris (2011),https://m.media-amazon.com/images/M/MV5BMTM4NjY1MDQwMl5BMl5BanBnXkFtZTcwNTI3Njg3NA@@._V1_SX300.jpg,PG-13,7.7,81,"324,479",Comedy,Fantasy,Romance,
45,Moana (2016),https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_SX300.jpg,PG,7.7,81,"142,46",Animation,Adventure,Comedy,
46,Silver Linings Playbook (2012),https://m.media-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_SX300.jpg,R,7.8,81,"570,344",Comedy,Drama,Romance,122 min
47,Skyfall (2012),https://m.media-amazon.com/images/M/MV5BNDVhZmJiYWMtNmIzMC00ZWNiLTkzZDYtNGNlZmViMGM4OGExXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,PG-13,7.8,81,"552,367",Action,Adventure,Thriller,143 min
48,The Big Short (2015),https://m.media-amazon.com/images/M/MV5BNDc4MThhN2EtZjMzNC00ZDJmLThiZTgtNThlY2UxZWMzNjdkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,R,7.8,81,"254,317",Biography,Comedy,Drama,130 min
49,Hunt for the Wilderpeople (2016),https://m.media-amazon.com/images/M/MV5BMjI1MDQ2MDg5Ml5BMl5BanBnXkFtZTgwMjc2NjM5ODE@._V1_SX300.jpg,PG-13,7.9,81,"56,964",Adventure,Comedy,Drama,
50,The Martian (2015),https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_SX300.jpg,PG-13,8,80,"569,347",Adventure,Drama,Sci-Fi,144 min
51,True Grit (2010),https://m.media-amazon.com/images/M/MV5BMjIxNjAzODQ0N15BMl5BanBnXkFtZTcwODY2MjMyNA@@._V1_SX300.jpg,PG-13,7.6,80,"257,67",Adventure,Drama,Western,110 min
52,Black Swan (2010),https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,R,8,79,"587,893",Drama,Thriller,,108 min
53,Sing Street (2016),https://m.media-amazon.com/images/M/MV5BMjEzODA3MDcxMl5BMl5BanBnXkFtZTgwODgxNDk3NzE@._V1_SX300.jpg,PG-13,8,79,"56,066",Comedy,Drama,Music,
54,Gone Girl (2014),https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_SX300.jpg,R,8.1,79,"649,474",Crime,Drama,Mystery,149 min
55,Dawn of the Planet of the Apes (2014),https://m.media-amazon.com/images/M/MV5BMTgwODk3NDc1N15BMl5BanBnXkFtZTgwNTc1NjQwMjE@._V1_SX300.jpg,PG-13,7.6,79,"349,646",Action,Adventure,Drama,130 min
56,Beasts of No Nation (2015),https://m.media-amazon.com/images/M/MV5BMTYwMzMzMDI0NF5BMl5BanBnXkFtZTgwNDQ3NjI3NjE@._V1_SX300.jpg,N/A,7.8,79,"51,781",Drama,War,,137 min
57,Pride (2014),https://m.media-amazon.com/images/M/MV5BMTU2OTcyOTE3MF5BMl5BanBnXkFtZTgwNTg5Mjc1MjE@._V1_SX300.jpg,R,7.8,79,"40,577",Biography,Comedy,Drama,
58,The Fighter (2010),https://m.media-amazon.com/images/M/MV5BMTM0ODk3MjM1MV5BMl5BanBnXkFtZTcwNzc1MDIwNA@@._V1_SX300.jpg,R,7.8,79,"292,823",Action,Biography,Drama,116 min
59,Zootopia (2016),https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,PG,8.1,78,"309,474",Animation,Adventure,Comedy,108 min
60,The Dark Knight Rises (2012),https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,PG-13,8.4,78,"1,240,780",Action,Thriller,,164 min
61,Ex Machina (2014),https://m.media-amazon.com/images/M/MV5BMTUxNzc0OTIxMV5BMl5BanBnXkFtZTgwNDI3NzU2NDE@._V1_SX300.jpg,R,7.7,78,"348,55",Drama,Mystery,Sci-Fi,108 min
62,Drive (2011),https://m.media-amazon.com/images/M/MV5BZjY5ZjQyMjMtMmEwOC00Nzc2LTllYTItMmU2MzJjNTg1NjY0XkEyXkFqcGdeQXVyNjQ1MTMzMDQ@._V1_SX300.jpg,R,7.8,78,"467,642",Crime,Drama,,100 min
63,"I, Daniel Blake (2016)",https://m.media-amazon.com/images/M/MV5BMTQ4NTMzMTk4NV5BMl5BanBnXkFtZTgwNTU5MjE4MDI@._V1_SX300.jpg,R,7.9,78,"28,35",Drama,,,
64,Philomena (2013),https://m.media-amazon.com/images/M/MV5BMjA5ODgyNzcxMV5BMl5BanBnXkFtZTgwMzkzOTYzMDE@._V1_SX300.jpg,PG-13,7.6,77,"81,855",Biography,Drama,,98 min
65,The Revenant (2015),https://m.media-amazon.com/images/M/MV5BMDE5OWMzM2QtOTU2ZS00NzAyLWI2MDEtOTRlYjIxZGM0OWRjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,R,8,76,"512,526",Adventure,Drama,Thriller,156 min
66,Guardians of the Galaxy (2014),https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,PG-13,8.1,76,"778,22",Action,Adventure,Sci-Fi,121 min
67,The Hunger Games: Catching Fire (2013),https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_SX300.jpg,PG-13,7.6,76,"531,466",Action,Adventure,Mystery,146 min
68,What We Do in the Shadows (2014),https://m.media-amazon.com/images/M/MV5BMjAwNDA5NzEwM15BMl5BanBnXkFtZTgwMTA1MDUyNDE@._V1_SX300.jpg,R,7.6,76,"87,975",Comedy,Horror,,
69,How to Train Your Dragon 2 (2014),https://m.media-amazon.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1_SX300.jpg,PG,7.9,76,"240,983",Animation,Action,Adventure,
70,Nightcrawler (2014),https://m.media-amazon.com/images/M/MV5BN2U1YzdhYWMtZWUzMi00OWI1LWFkM2ItNWVjM2YxMGQ2MmNhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,R,7.9,76,"340,717",Crime,Drama,Thriller,118 min
71,Rush (2013),https://m.media-amazon.com/images/M/MV5BOWEwODJmZDItYTNmZC00OGM4LThlNDktOTQzZjIzMGQxODA4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,R,8.1,75,"345,486",Action,Biography,Drama,123 min
72,The Wolf of Wall Street (2013),https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,R,8.2,75,"881,984",Biography,Comedy,Crime,180 min
73,Captain America: Civil War (2016),https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,PG-13,7.9,75,"431,555",Action,Adventure,Sci-Fi,147 min
74,X-Men: Days of Future Past (2014),https://m.media-amazon.com/images/M/MV5BZGIzNWYzN2YtMjcwYS00YjQ3LWI2NjMtOTNiYTUyYjE2MGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,8,74,"560,736",Action,Adventure,Sci-Fi,132 min
75,How to Train Your Dragon (2010),https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,PG,8.1,74,"532,296",Animation,Action,Adventure,
76,Prisoners (2013),https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_SX300.jpg,R,8.1,74,"441,037",Crime,Drama,Mystery,153 min
77,The Town (2010),https://m.media-amazon.com/images/M/MV5BMTcyNzcxODg3Nl5BMl5BanBnXkFtZTcwMTUyNjQ3Mw@@._V1_SX300.jpg,R,7.6,74,"297,426",Crime,Drama,Thriller,125 min
78,Interstellar (2014),https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,PG-13,8.6,74,"1,075,163",Adventure,Drama,Sci-Fi,169 min
79,Big Hero 6 (2014),https://m.media-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,PG,7.8,74,"315,485",Animation,Action,Adventure,
80,Hidden Figures (2016),https://m.media-amazon.com/images/M/MV5BMzg2Mzg4YmUtNDdkNy00NWY1LWE3NmEtZWMwNGNlMzE5YzU3XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_SX300.jpg,PG,7.8,74,"111,357",Biography,Drama,History,127 min
81,Me and Earl and the Dying Girl (2015),https://m.media-amazon.com/images/M/MV5BNTA1NzUzNjY4MV5BMl5BanBnXkFtZTgwNDU0MDI0NTE@._V1_SX300.jpg,PG-13,7.8,74,"94,563",Comedy,Drama,,105 min
82,Inception (2010),https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,PG-13,8.8,74,"1,609,713",Action,Adventure,Sci-Fi,148 min
83,The Imitation Game (2014),https://m.media-amazon.com/images/M/MV5BOTgwMzFiMWYtZDhlNS00ODNkLWJiODAtZDVhNzgyNzJhYjQ4L2ltYWdlXkEyXkFqcGdeQXVyNzEzOTYxNTQ@._V1_SX300.jpg,PG-13,8.1,73,"540,489",Biography,Drama,Thriller,114 min
84,Doctor Strange (2016),https://m.media-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_SX300.jpg,PG-13,7.6,72,"328,932",Action,Adventure,Fantasy,115 min
85,50/50 (2011),https://m.media-amazon.com/images/M/MV5BNjg3ODQyNTIyN15BMl5BanBnXkFtZTcwMjUzNzM5NQ@@._V1_SX300.jpg,R,7.7,72,"283,935",Comedy,Drama,Romance,100 min
86,Despicable Me (2010),https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,PG,7.7,72,"417,592",Animation,Adventure,Comedy,
87,The Theory of Everything (2014),https://m.media-amazon.com/images/M/MV5BMTAwMTU4MDA3NDNeQTJeQWpwZ15BbWU4MDk4NTMxNTIx._V1_SX300.jpg,PG-13,7.7,72,"305,145",Biography,Drama,Romance,123 min
88,Wreck-It Ralph (2012),https://m.media-amazon.com/images/M/MV5BNzMxNTExOTkyMF5BMl5BanBnXkFtZTcwMzEyNDc0OA@@._V1_SX300.jpg,PG,7.7,72,"295,125",Animation,Adventure,Comedy,
89,Star Trek Into Darkness (2013),https://m.media-amazon.com/images/M/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_SX300.jpg,PG-13,7.8,72,"421,473",Action,Adventure,Sci-Fi,132 min
90,Captain Fantastic (2016),https://m.media-amazon.com/images/M/MV5BMjE5OTM0OTY5NF5BMl5BanBnXkFtZTgwMDcxOTQ3ODE@._V1_SX300.jpg,R,7.9,72,"115,194",Comedy,Drama,,
91,Straight Outta Compton (2015),https://m.media-amazon.com/images/M/MV5BMTA5MzkyMzIxNjJeQTJeQWpwZ15BbWU4MDU0MDk0OTUx._V1_SX300.jpg,R,7.9,72,"144,011",Biography,Drama,History,147 min
92,Hacksaw Ridge (2016),https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_SX300.jpg,R,8.2,71,"244,314",Biography,Drama,History,139 min
93,Warrior (2011),https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_SX300.jpg,PG-13,8.2,71,"361,049",Action,Drama,Sport,140 min
94,Tangled (2010),https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,PG,7.8,71,"321,593",Animation,Adventure,Comedy,
95,The Girl with the Dragon Tattoo (2011),https://m.media-amazon.com/images/M/MV5BMTczNDk4NTQ0OV5BMl5BanBnXkFtZTcwNDAxMDgxNw@@._V1_SX300.jpg,R,7.8,71,"352,566",Crime,Drama,Mystery,158 min
96,Edge of Tomorrow (2014),https://m.media-amazon.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1_SX300.jpg,PG-13,7.9,71,"480,513",Action,Adventure,Sci-Fi,113 min
97,Captain America: The Winter Soldier (2014),https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MjEyNTE2Ml5BMl5BanBnXkFtZTgwMDUyODcwMjE@._V1_SX300.jpg,N/A,7.8,70,"552,706",Action,Adventure,Sci-Fi,136 min
98,The Little Prince (2015),https://m.media-amazon.com/images/M/MV5BNjg0OTM5OTQyNV5BMl5BanBnXkFtZTgwNDg5NDQ0NTE@._V1_SX300.jpg,PG,7.8,70,"40,777",Animation,Adventure,Drama,108 min
99,Lion (2016),https://m.media-amazon.com/images/M/MV5BMjA3NjkzNjg2MF5BMl5BanBnXkFtZTgwMDkyMzgzMDI@._V1_SX300.jpg,PG-13,8.1,69,"123,032",Biography,Drama,,118 min
100,The Avengers (2012),https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,PG-13,8.1,69,"1,056,773",Action,Sci-Fi,,143 min
101,Scott Pilgrim vs. the World (2010),https://m.media-amazon.com/images/M/MV5BMTkwNTczNTMyOF5BMl5BanBnXkFtZTcwNzUxOTUyMw@@._V1_SX300.jpg,PG-13,7.5,69,"297,633",Action,Comedy,Romance,112 min
102,The Fault in Our Stars (2014),https://m.media-amazon.com/images/M/MV5BMjA4NzkxNzc5Ml5BMl5BanBnXkFtZTgwNzQ3OTMxMTE@._V1_SX300.jpg,PG-13,7.8,69,"276,272",Drama,Romance,,126 min
103,Rise of the Planet of the Apes (2011),https://m.media-amazon.com/images/M/MV5BYzE3ZmNlZTctMDdmNy00MjMzLWFmZmYtN2M5N2YyYTQ1ZDJjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,PG-13,7.6,68,"434,037",Action,Drama,Sci-Fi,
104,End of Watch (2012),https://m.media-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_SX300.jpg,R,7.7,68,"194,675",Crime,Drama,Thriller,109 min
105,The Perks of Being a Wallflower (2012),https://m.media-amazon.com/images/M/MV5BMzIxOTQyODU1OV5BMl5BanBnXkFtZTcwMDQ4Mjg4Nw@@._V1_SX300.jpg,PG-13,8,67,"382,665",Drama,Romance,,102 min
106,Kick-Ass (2010),https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_SX300.jpg,R,7.7,66,"461,86",Action,Comedy,,117 min
107,The Hobbit: The Desolation of Smaug (2013),https://m.media-amazon.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_SX300.jpg,PG-13,7.9,66,"520,084",Adventure,Fantasy,,161 min
108,Deadpool (2016),https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,R,8,65,"652,127",Action,Adventure,Comedy,108 min
109,Tucker and Dale vs Evil (2010),https://m.media-amazon.com/images/M/MV5BODQ5NDQ0MjkwMF5BMl5BanBnXkFtZTcwNDg1OTU4NQ@@._V1_SX300.jpg,R,7.6,65,"138,624",Comedy,Horror,,
110,Tyrannosaur (2011),https://m.media-amazon.com/images/M/MV5BMjIwNzAxMDgxM15BMl5BanBnXkFtZTcwODM5NzU4NQ@@._V1_SX300.jpg,N/A,7.6,65,"26,016",Drama,,,
111,Harry Potter and the Deathly Hallows: Part 1 (2010),https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,PG-13,7.7,65,"363,226",Adventure,Family,Fantasy,146 min
